TOP TECH TIDBITS - ARTICLE SOURCE DOMAIN ANALYSIS
Newsletters: 2024-01-04 - 2026-09-10 (182 issues)
Total source links: 40261
Total unique domains: 1257

RANKED DOMAIN LIST (with RSS feed status):
    1.  3303 articles | youtube.com                            | NO FEED (404)
  433.     4 articles | app-suite.eu                           | NO FEED (404)
  434.     4 articles | blakewatson.com                        | Atom: blakewatson.com/feed/
  435.     4 articles | blindaccessibilitytips.com             | RSS: blindaccessibilitytips.com/feed/
  436.     4 articles | blog.iconfactory.com                   | RSS: blog.iconfactory.com/feed/
  437.     4 articles | blog.openlibrary.org                   | RSS: blog.openlibrary.org/feed/
  438.     4 articles | bloomberg.com                          | NO FEED (404)
  439.     4 articles | boisestate.zoom.us                     | NO FEED (404)
  440.     4 articles | businessanddisability.org              | RSS: businessanddisability.org/rss.xml
  441.     4 articles | calendar.perfplanet.com                | RSS: calendar.perfplanet.com/feed/
  442.     4 articles | cbc.ca                                 | NO FEED (404)
  443.     4 articles | community-access.github.io             | RSS: community-access.github.io/feed
  444.     4 articles | cordcuttersnews.com                    | RSS: cordcuttersnews.com/feed/
  445.     4 articles | dasat.com.au                           | RSS: dasat.com.au/feed/
  446.     4 articles | drive.google.com                       | NO FEED (404)
  447.     4 articles | en.wikipedia.org                       | NO FEED (404)
  448.     4 articles | events.humanitix.com                   | NO FEED (404)
  449.     4 articles | futurism.com                           | RSS: futurism.com/feed/
  450.     4 articles | gdg.community.dev                      | RSS: gdg.community.dev/rss
  451.     4 articles | geekwire.com                           | RSS: geekwire.com/feed/
  452.     4 articles | govtech.com                            | NO FEED (404)
  453.     4 articles | hapware.com                            | NO FEED (404)
  454.     4 articles | heather-buchel.com                     | NO FEED (404)
  455.     4 articles | helpbvi.objectiveed.com                | NO FEED (404)
  456.     4 articles | herculodge.typepad.com                 | NO FEED (404)
  457.     4 articles | heydonworks.com                        | RSS: heydonworks.com/feed/
  458.     4 articles | hidde.blog                             | Atom: hidde.blog/feed
  459.     4 articles | jaredcunha.com                         | RSS: jaredcunha.com/rss.xml
  460.     4 articles | joeorozco.com                          | RSS: joeorozco.com/feed/
  461.     4 articles | lflegal.com                            | RSS: lflegal.com/feed/
  462.     4 articles | lighthouseguild.org                    | RSS: lighthouseguild.org/feed/
  463.     4 articles | loc.gov                                | NO FEED (404)
  464.     4 articles | malwarebytes.com                       | RSS: malwarebytes.com/feed/
  465.     4 articles | marketplace.org                        | NO FEED (404)
  466.     4 articles | mercari.com                            | NO FEED (404)
  467.     4 articles | microassist.com                        | RSS: microassist.com/feed/
  468.     4 articles | mid-day.com                            | NO FEED (404)
  469.     4 articles | militaryspouse.com                     | RSS: militaryspouse.com/feed
  470.     4 articles | mspoweruser.com                        | NO FEED (404)
  471.     4 articles | nature.com                             | NO FEED (404)
  472.     4 articles | nerdbreakthrough.com                   | NO FEED (404)
  473.     4 articles | news.utdallas.edu                      | RSS: news.utdallas.edu/feed/
  474.     4 articles | nimerblogs.blogspot.com                | RSS: nimerblogs.blogspot.com/rss.xml
  475.     4 articles | ophthalmologytimes.com                 | NO FEED (404)
  476.     4 articles | piccalil.li                            | NO FEED (404)
  477.     4 articles | runnersworld.com                       | NO FEED (404)
  478.     4 articles | siriuserguide.com                      | NO FEED (404)
  479.     4 articles | social.pneumasolutions.com             | NO FEED (404)
  480.     4 articles | sparkbox.com                           | NO FEED (404)
  481.     4 articles | sperdvac.com                           | RSS: sperdvac.com/feed/
  482.     4 articles | survey.alchemer.com                    | NO FEED (404)
  483.     4 articles | tgstudios.app                          | NO FEED (404)
  484.     4 articles | theneurondaily.com                     | NO FEED (404)
  485.     4 articles | theprint.in                            | NO FEED (404)
  486.     4 articles | touchpadprofoundation.org              | NO FEED (404)
  487.     4 articles | visionservealliance.org                | RSS: visionservealliance.org/feed/
  488.     4 articles | windowsreport.com                      | NO FEED (404)
  489.     4 articles | zerocon26.zeroproject.org              | NO FEED (404)
  490.     4 articles | zoomgov.com                            | NO FEED (404)
  491.     3 articles | a11y-tools.com                         | Not checked
  492.     3 articles | abilitynet-org-uk.zoom.us              | Not checked
  493.     3 articles | acb-community.pinecast.co              | Not checked
  494.     3 articles | accessibility.blog.gov.uk              | Not checked
  495.     3 articles | action.everylibrary.org                | Not checked
  496.     3 articles | amzn.openinapp.link                    | Not checked
  497.     3 articles | analyticsindiamag.com                  | Not checked
  498.     3 articles | androidguys.com                        | Not checked
  499.     3 articles | apnews.com                             | Not checked
  500.     3 articles | barrierbreak.com                       | Not checked
  501.     3 articles | basbroek.nl                            | Not checked
  502.     3 articles | bgr.com                                | Not checked
  503.     3 articles | blindnewworld.org                      | Not checked
  504.     3 articles | blog.monotonous.org                    | Not checked
  505.     3 articles | blog.mozilla.org                       | Not checked
  506.     3 articles | blogs.loc.gov                          | Not checked
  507.     3 articles | brailleblaster.org                     | Not checked
  508.     3 articles | buzzsprout.com                         | Not checked
  509.     3 articles | change.org                             | Not checked
  510.     3 articles | chat.openai.com                        | Not checked
  511.     3 articles | chromeunboxed.com                      | Not checked
  512.     3 articles | disabilityhorizons.com                 | Not checked
  513.     3 articles | disabilityownedconvening.com           | Not checked
  514.     3 articles | disabled-world.com                     | Not checked
  515.     3 articles | dlee.org                               | Not checked
  516.     3 articles | duxburysystems.com                     | Not checked
  517.     3 articles | echovision.agiga.ai                    | Not checked
  518.     3 articles | equalizedigital.com                    | Not checked
  519.     3 articles | erikkroes.nl                           | Not checked
  520.     3 articles | events.oregonstate.edu                 | Not checked
  521.     3 articles | firefox.com                            | Not checked
  522.     3 articles | form.jotform.com                       | Not checked
  523.     3 articles | foxnews.com                            | Not checked
  524.     3 articles | gatech.co1.qualtrics.com               | Not checked
  525.     3 articles | globenewswire.com                      | Not checked
  526.     3 articles | hackaday.com                           | Not checked
  527.     3 articles | hadley.edu                             | Not checked
  528.     3 articles | iabilityi.com                          | Not checked
  529.     3 articles | illinois.qualtrics.com                 | Not checked
  530.     3 articles | inclusionimpact.co                     | Not checked
  531.     3 articles | independent.co.uk                      | Not checked
  532.     3 articles | karlgroves.com                         | Not checked
  533.     3 articles | last-child.com                         | Not checked
  534.     3 articles | levelaccess.com                        | Not checked
  535.     3 articles | livescience.com                        | Not checked
  536.     3 articles | meetup.com                             | Not checked
  537.     3 articles | meryl.net                              | Not checked
  538.     3 articles | mosen.org                              | Not checked
  539.     3 articles | neurosciencenews.com                   | Not checked
  540.     3 articles | news.samsung.com                       | Not checked
  541.     3 articles | nfbv.org                               | Not checked
  542.     3 articles | nytimes.com                            | Not checked
  543.     3 articles | pnc.st                                 | Not checked
  544.     3 articles | prweb.com                              | Not checked
  545.     3 articles | pymnts.com                             | Not checked
  546.     3 articles | robertkingett.com                      | Not checked
  547.     3 articles | sarasoueidan.com                       | Not checked
  548.     3 articles | scribeformeetings.com                  | Not checked
  549.     3 articles | spectrum.ieee.org                      | Not checked
  550.     3 articles | support.apple.com                      | Not checked
  551.     3 articles | support.google.com                     | Not checked
  552.     3 articles | support.microsoft.com                  | Not checked
  553.     3 articles | teachaccess.org                        | Not checked
  554.     3 articles | technical.ly                           | Not checked
  555.     3 articles | techspot.com                           | Not checked
  556.     3 articles | temple.zoom.us                         | Not checked
  557.     3 articles | teslarati.com                          | Not checked
  558.     3 articles | theconversation.com                    | Not checked
  559.     3 articles | thespoon.tech                          | Not checked
  560.     3 articles | thiis.co.uk                            | Not checked
  561.     3 articles | tmobileaccess.com                      | Not checked
  562.     3 articles | tweesecake.app                         | Not checked
  563.     3 articles | usblindchess.org                       | Not checked
  564.     3 articles | venturebeat.com                        | Not checked
  565.     3 articles | wbur.org                               | Not checked
  566.     3 articles | wcvb.com                               | Not checked
  567.     3 articles | whollyaccessible.org                   | Not checked
  568.     3 articles | windowslatest.com                      | Not checked
  569.     3 articles | wsblind.org                            | Not checked
  570.     3 articles | yahoo.com                              | Not checked
  571.     3 articles | zoomax.com                             | Not checked
  572.     2 articles | 7news.com.au                           | Not checked
  573.     2 articles | 85ideas.com                            | Not checked
  574.     2 articles | a11ydata.com                           | Not checked
  575.     2 articles | a11ytrainer.com                        | Not checked
  576.     2 articles | abc15.com                              | Not checked
  577.     2 articles | abilitymagazine.com                    | Not checked
  578.     2 articles | acbconvention.org                      | Not checked
  579.     2 articles | acbmedia.org                           | Not checked
  580.     2 articles | accessarmada.com                       | Not checked
  581.     2 articles | accessibilityoz.com                    | Not checked
  582.     2 articles | accessibleworld.org                    | Not checked
  583.     2 articles | accessionaire.com                      | Not checked
  584.     2 articles | accessnewswire.com                     | Not checked
  585.     2 articles | accsify.com                            | Not checked
  586.     2 articles | acubed.design                          | Not checked
  587.     2 articles | acvrep.org                             | Not checked
  588.     2 articles | adguard-vpn.com                        | Not checked
  589.     2 articles | aerbvi.org                             | Not checked
  590.     2 articles | aftvnews.com                           | Not checked
  591.     2 articles | agnow.brynify.me                       | Not checked
  592.     2 articles | aiandfaith.org                         | Not checked
  593.     2 articles | aimanager.alessandroalbano.it          | Not checked
  594.     2 articles | aira.zoom.us                           | Not checked
  595.     2 articles | alphagalileo.org                       | Not checked
  596.     2 articles | americanbazaaronline.com               | Not checked
  597.     2 articles | android-developers.googleblog.com      | Not checked
  598.     2 articles | assistivetechnologyblog.com            | Not checked
  599.     2 articles | assoc-redirect.amazon.com              | Not checked
  600.     2 articles | asus.com                               | Not checked
  601.     2 articles | austinseraphin.net                     | Not checked
  602.     2 articles | aviationa2z.com                        | Not checked
  603.     2 articles | bangkokpost.com                        | Not checked
  604.     2 articles | blazie.co.uk                           | Not checked
  605.     2 articles | bleepingcomputer.com                   | Not checked
  606.     2 articles | blind.org.uk                           | Not checked
  607.     2 articles | blindcoincollector.com                 | Not checked
  608.     2 articles | blindinstituteoftechnology.org         | Not checked
  609.     2 articles | blog.1password.com                     | Not checked
  610.     2 articles | bookshare.org                          | Not checked
  611.     2 articles | boostofstudios.duckdns.org             | Not checked
  612.     2 articles | brailledb.seeinghands.org              | Not checked
  613.     2 articles | braillists.zoom.us                     | Not checked
  614.     2 articles | briteai.net                            | Not checked
  615.     2 articles | broadcast.classicairwaves.com          | Not checked
  616.     2 articles | bu.edu                                 | Not checked
  617.     2 articles | businesstoday.in                       | Not checked
  618.     2 articles | bva.org                                | Not checked
  619.     2 articles | chabadellicottcity.com                 | Not checked
  620.     2 articles | channelnewsasia.com                    | Not checked
  621.     2 articles | chesterstandard.co.uk                  | Not checked
  622.     2 articles | chosun.com                             | Not checked
  623.     2 articles | clovernook.org                         | Not checked
  624.     2 articles | cnbc.com                               | Not checked
  625.     2 articles | cnn.com                                | Not checked
  626.     2 articles | coforma.io                             | Not checked
  627.     2 articles | commission.europa.eu                   | Not checked
  628.     2 articles | consultspringboard.com                 | Not checked
  629.     2 articles | consumerreports.org                    | Not checked
  630.     2 articles | convo.casa                             | Not checked
  631.     2 articles | corporate.comcast.com                  | Not checked
  632.     2 articles | cpr.org                                | Not checked
  633.     2 articles | createwithswift.com                    | Not checked
  634.     2 articles | crn.com                                | Not checked
  635.     2 articles | crowd.appen.com                        | Not checked
  636.     2 articles | csdb.org                               | Not checked
  637.     2 articles | daisy.github.io                        | Not checked
  638.     2 articles | darvy.ai                               | Not checked
  639.     2 articles | daverupert.com                         | Not checked
  640.     2 articles | dbushell.com                           | Not checked
  641.     2 articles | depaul.qualtrics.com                   | Not checked
  642.     2 articles | developer.chrome.com                   | Not checked
  643.     2 articles | devfest.at                             | Not checked
  644.     2 articles | digitalinformationworld.com            | Not checked
  645.     2 articles | disabilityinnovationforum.com          | Not checked
  646.     2 articles | dr-carter.com                          | Not checked
  647.     2 articles | dsurf.net                              | Not checked
  648.     2 articles | eac.gov                                | Not checked
  649.     2 articles | eandt.theiet.org                       | Not checked
  650.     2 articles | edf-feph.org                           | Not checked
  651.     2 articles | eetimes.com                            | Not checked
  652.     2 articles | elevenlabs.io                          | Not checked
  653.     2 articles | elevenreader.io                        | Not checked
  654.     2 articles | emacspeak.blogspot.com                 | Not checked
  655.     2 articles | en.blindgram.ir                        | Not checked
  656.     2 articles | envisionamerica.com                    | Not checked
  657.     2 articles | equineeyes.org                         | Not checked
  658.     2 articles | eu.36kr.com                            | Not checked
  659.     2 articles | eurpod.com                             | Not checked
  660.     2 articles | event.on24.com                         | Not checked
  661.     2 articles | eventhoughimblind.com                  | Not checked
  662.     2 articles | events-delivery.apple.com              | Not checked
  663.     2 articles | federalnewsnetwork.com                 | Not checked
  664.     2 articles | founderz.com                           | Not checked
  665.     2 articles | fovionics.com                          | Not checked
  666.     2 articles | freelists.org                          | Not checked
  667.     2 articles | ft.com                                 | Not checked
  668.     2 articles | futureinsight.org                      | Not checked
  669.     2 articles | gbbns.co                               | Not checked
  670.     2 articles | gerardkcohen.me                        | Not checked
  671.     2 articles | ghacks.net                             | Not checked
  672.     2 articles | gizmodo.com                            | Not checked
  673.     2 articles | glassalmanac.com                       | Not checked
  674.     2 articles | glasstire.com                          | Not checked
  675.     2 articles | go.3playmedia.com                      | Not checked
  676.     2 articles | gofundme.com                           | Not checked
  677.     2 articles | goldengatexpress.org                   | Not checked
  678.     2 articles | gomakethings.com                       | Not checked
  679.     2 articles | goosed.ie                              | Not checked
  680.     2 articles | gotechtor.com                          | Not checked
  681.     2 articles | governmentjobs.com                     | Not checked
  682.     2 articles | harboltcompany.com                     | Not checked
  683.     2 articles | hartgenconsultancy.com                 | Not checked
  684.     2 articles | hearingloss.org                        | Not checked
  685.     2 articles | help.openai.com                        | Not checked
  686.     2 articles | hhs.gov                                | Not checked
  687.     2 articles | hks.harvard.edu                        | Not checked
  688.     2 articles | hondanews.com                          | Not checked
  689.     2 articles | iacast.net                             | Not checked
  690.     2 articles | iceb.org                               | Not checked
  691.     2 articles | indexbraille.com                       | Not checked
  692.     2 articles | infrequently.org                       | Not checked
  693.     2 articles | intellectia.ai                         | Not checked
  694.     2 articles | jamalmazrui.github.io                  | Not checked
  695.     2 articles | jang.com.pk                            | Not checked
  696.     2 articles | jjhof.com                              | Not checked
  697.     2 articles | jumpingfridge.oo.gd                    | Not checked
  698.     2 articles | karlkoch.me                            | Not checked
  699.     2 articles | kayatli.com                            | Not checked
  700.     2 articles | kickstarter.com                        | Not checked
  701.     2 articles | kipp.social                            | Not checked
  702.     2 articles | l-works.net                            | Not checked
  703.     2 articles | laurentbradford.substack.com           | Not checked
  704.     2 articles | leadership.ng                          | Not checked
  705.     2 articles | learn.microsoft.com                    | Not checked
  706.     2 articles | lifeofablindgirl.com                   | Not checked
  707.     2 articles | linuxcommand.org                       | Not checked
  708.     2 articles | linuxjournal.com                       | Not checked
  709.     2 articles | linuxlinks.com                         | Not checked
  710.     2 articles | lowvisiontech.com                      | Not checked
  711.     2 articles | lullabot.com                           | Not checked
  712.     2 articles | lvbtechsurvey.sawtoothsoftware.com     | Not checked
  713.     2 articles | m-enabling.com                         | Not checked
  714.     2 articles | macdailynews.com                       | Not checked
  715.     2 articles | machinedesign.com                      | Not checked
  716.     2 articles | macreports.com                         | Not checked
  717.     2 articles | macstories.net                         | Not checked
  718.     2 articles | madamgreen.xyz                         | Not checked
  719.     2 articles | martechseries.com                      | Not checked
  720.     2 articles | mashable.com                           | Not checked
  721.     2 articles | matthewdeeprose.github.io              | Not checked
  722.     2 articles | mcdn.podbean.com                       | Not checked
  723.     2 articles | medium.com                             | Not checked
  724.     2 articles | michiganmedicine.org                   | Not checked
  725.     2 articles | mindmatters.ai                         | Not checked
  726.     2 articles | mk.co.kr                               | Not checked
  727.     2 articles | moroccoworldnews.com                   | Not checked
  728.     2 articles | myhealthyapple.com                     | Not checked
  729.     2 articles | mysticaccessdownloads.com              | Not checked
  730.     2 articles | mysticaccesspodcast.com                | Not checked
  731.     2 articles | nationaldb.org                         | Not checked
  732.     2 articles | ncd.gov                                | Not checked
  733.     2 articles | ndtv.com                               | Not checked
  734.     2 articles | news.cgtn.com                          | Not checked
  735.     2 articles | news.mit.edu                           | Not checked
  736.     2 articles | newscientist.com                       | Not checked
  737.     2 articles | nfb.social                             | Not checked
  738.     2 articles | nicchan.me                             | Not checked
  739.     2 articles | njitmanagement.qualtrics.com           | Not checked
  740.     2 articles | nocoffei.com                           | Not checked
  741.     2 articles | notepad-plus-plus.org                  | Not checked
  742.     2 articles | nrc.canada.ca                          | Not checked
  743.     2 articles | nvaccess.us8.list-manage.com           | Not checked
  744.     2 articles | onjlouis.github.io                     | Not checked
  745.     2 articles | oorion.fr                              | Not checked
  746.     2 articles | openaccess.nz                          | Not checked
  747.     2 articles | openfrequency.us                       | Not checked
  748.     2 articles | osu.zoom.us                            | Not checked
  749.     2 articles | osxdaily.com                           | Not checked
  750.     2 articles | ourculturemag.com                      | Not checked
  751.     2 articles | out-of-sight.net                       | Not checked
  752.     2 articles | patentlyapple.com                      | Not checked
  753.     2 articles | patreon.com                            | Not checked
  754.     2 articles | payown.substack.com                    | Not checked
  755.     2 articles | people.com                             | Not checked
  756.     2 articles | photos.onedrive.com                    | Not checked
  757.     2 articles | physicsworld.com                       | Not checked
  758.     2 articles | pope.tech                              | Not checked
  759.     2 articles | pulptastic.com                         | Not checked
  760.     2 articles | pune.news                              | Not checked
  761.     2 articles | qz.com                                 | Not checked
  762.     2 articles | radiotoday.co.uk                       | Not checked
  763.     2 articles | raspberrytips.com                      | Not checked
  764.     2 articles | read.amazon.com                        | Not checked
  765.     2 articles | redmondpie.com                         | Not checked
  766.     2 articles | rehabmart.com                          | Not checked
  767.     2 articles | reviewed.usatoday.com                  | Not checked
  768.     2 articles | rightbadcode.com                       | Not checked
  769.     2 articles | rit.az1.qualtrics.com                  | Not checked
  770.     2 articles | romania-insider.com                    | Not checked
  771.     2 articles | roundtableconference.org               | Not checked
  772.     2 articles | rowan.co1.qualtrics.com                | Not checked
  773.     2 articles | runwaygirlnetwork.com                  | Not checked
  774.     2 articles | samsung.com                            | Not checked
  775.     2 articles | sanantonioreport.org                   | Not checked
  776.     2 articles | sciencedirect.com                      | Not checked
  777.     2 articles | scmp.com                               | Not checked
  778.     2 articles | seattlepi.com                          | Not checked
  779.     2 articles | see-things-differently-with-hu.pinecast.co | Not checked
  780.     2 articles | seewithluna.com                        | Not checked
  781.     2 articles | seniorfriendly.info                    | Not checked
  782.     2 articles | servicehorses.org                      | Not checked
  783.     2 articles | share.hsforms.com                      | Not checked
  784.     2 articles | sharynmorrow.com                       | Not checked
  785.     2 articles | sightsense.ai                          | Not checked
  786.     2 articles | sites.libsyn.com                       | Not checked
  787.     2 articles | slack.com                              | Not checked
  788.     2 articles | smarterarticles.co.uk                  | Not checked
  789.     2 articles | snowmanradio.com                       | Not checked
  790.     2 articles | softvoile.com                          | Not checked
  791.     2 articles | soundcloud.com                         | Not checked
  792.     2 articles | source.android.com                     | Not checked
  793.     2 articles | speakingaccess.com                     | Not checked
  794.     2 articles | speeddots.com                          | Not checked
  795.     2 articles | spin.atomicobject.com                  | Not checked
  796.     2 articles | sports.yahoo.com                       | Not checked
  797.     2 articles | stateline.org                          | Not checked
  798.     2 articles | sterlingcreations.ca                   | Not checked
  799.     2 articles | stevefrenzel.dev                       | Not checked
  800.     2 articles | stiftelsenfunka.org                    | Not checked
  801.     2 articles | store.humanware.com                    | Not checked
  802.     2 articles | stormux.org                            | Not checked
  803.     2 articles | studyfinds.org                         | Not checked
  804.     2 articles | stuff.interfree.ca                     | Not checked
  805.     2 articles | support.bemyeyes.com                   | Not checked
  806.     2 articles | survey.az1.qualtrics.com               | Not checked
  807.     2 articles | t.me                                   | Not checked
  808.     2 articles | tactilecuber.com                       | Not checked
  809.     2 articles | tatanotes.com                          | Not checked
  810.     2 articles | taylorarndt.gumroad.com                | Not checked
  811.     2 articles | tech-talk.sturitup.com                 | Not checked
  812.     2 articles | techbooky.com                          | Not checked
  813.     2 articles | tensorial.com.br                       | Not checked
  814.     2 articles | teslanorth.com                         | Not checked
  815.     2 articles | testflight.apple.com                   | Not checked
  816.     2 articles | testwithlabrador.com                   | Not checked
  817.     2 articles | the-express.com                        | Not checked
  818.     2 articles | thearc.org                             | Not checked
  819.     2 articles | thehumancode.buzzsprout.com            | Not checked
  820.     2 articles | theopeneyedman.com                     | Not checked
  821.     2 articles | theregister.com                        | Not checked
  822.     2 articles | thestar.com.my                         | Not checked
  823.     2 articles | thetechedvocate.org                    | Not checked
  824.     2 articles | thrivingblindacademy.org               | Not checked
  825.     2 articles | thurrott.com                           | Not checked
  826.     2 articles | tidycal.com                            | Not checked
  827.     2 articles | tifloacosta.wixsite.com                | Not checked
  828.     2 articles | tomfluff.github.io                     | Not checked
  829.     2 articles | touch-mapper.org                       | Not checked
  830.     2 articles | troet.cafe                             | Not checked
  831.     2 articles | tsbvi.edu                              | Not checked
  832.     2 articles | ttjtech.biz                            | Not checked
  833.     2 articles | tuko.co.ke                             | Not checked
  834.     2 articles | turner42.com                           | Not checked
  835.     2 articles | typeahead.ai                           | Not checked
  836.     2 articles | undp.org                               | Not checked
  837.     2 articles | unlocked.microsoft.com                 | Not checked
  838.     2 articles | unmute.community                       | Not checked
  839.     2 articles | us12.campaign-archive.com              | Not checked
  840.     2 articles | usaherald.com                          | Not checked
  841.     2 articles | usajobs.gov                            | Not checked
  842.     2 articles | uwmadison.co1.qualtrics.com            | Not checked
  843.     2 articles | uxdx.com                               | Not checked
  844.     2 articles | verbali.substack.com                   | Not checked
  845.     2 articles | vinnews.com                            | Not checked
  846.     2 articles | vistacenter-org.zoom.us                | Not checked
  847.     2 articles | voiceofsap.org                         | Not checked
  848.     2 articles | vrtinfo.com                            | Not checked
  849.     2 articles | web.cvent.com                          | Not checked
  850.     2 articles | wesleyhmartin.github.io                | Not checked
  851.     2 articles | wmar2news.com                          | Not checked
  852.     2 articles | wordpress.com                          | Not checked
  853.     2 articles | world.einnews.com                      | Not checked
  854.     2 articles | wtop.com                               | Not checked
  855.     2 articles | wud.accessibilityfirst.at              | Not checked
  856.     2 articles | wunc.org                               | Not checked
  857.     2 articles | yankodesign.com                        | Not checked
  858.     2 articles | yaronschoen.com                        | Not checked
  859.     2 articles | zoho.com                               | Not checked
  860.     1 articles | 0xda.de                                | Not checked
  861.     1 articles | 13wmaz.com                             | Not checked
  862.     1 articles | 2ality.com                             | Not checked
  863.     1 articles | 3dnatives.com                          | Not checked
  864.     1 articles | 404media.co                            | Not checked
  865.     1 articles | 9to5toys.com                           | Not checked
  866.     1 articles | a11y.is                                | Not checked
  867.     1 articles | aaardvarkaccessibility.com             | Not checked
  868.     1 articles | aapd.com                               | Not checked
  869.     1 articles | abc.net.au                             | Not checked
  870.     1 articles | aboutamazon.eu                         | Not checked
  871.     1 articles | accented.dev                           | Not checked
  872.     1 articles | accessibility.deque.com                | Not checked
  873.     1 articles | accessibility4all.net                  | Not checked
  874.     1 articles | accessible-eu-centre.ec.europa.eu      | Not checked
  875.     1 articles | accessiblelink.substack.com            | Not checked
  876.     1 articles | accessiblyapp.com                      | Not checked
  877.     1 articles | accessreadystrategic.com               | Not checked
  878.     1 articles | acoustictunesmith.com                  | Not checked
  879.     1 articles | adamsilver.io                          | Not checked
  880.     1 articles | adata.org                              | Not checked
  881.     1 articles | adoption.microsoft.com                 | Not checked
  882.     1 articles | ai.google.dev                          | Not checked
  883.     1 articles | aibeat.co                              | Not checked
  884.     1 articles | aka.ms                                 | Not checked
  885.     1 articles | alastairc.uk                           | Not checked
  886.     1 articles | albertasfuture.ca                      | Not checked
  887.     1 articles | alice.boxhall.au                       | Not checked
  888.     1 articles | allinaccess.com                        | Not checked
  889.     1 articles | analyticsinsight.net                   | Not checked
  890.     1 articles | anl.gov                                | Not checked
  891.     1 articles | annebovelett.eu                        | Not checked
  892.     1 articles | anthes.is                              | Not checked
  893.     1 articles | antonsten.com                          | Not checked
  894.     1 articles | app.hubspot.com                        | Not checked
  895.     1 articles | applause.com                           | Not checked
  896.     1 articles | applemust.com                          | Not checked
  897.     1 articles | applitrack.com                         | Not checked
  898.     1 articles | arirang.com                            | Not checked
  899.     1 articles | arun.is                                | Not checked
  900.     1 articles | audible.com                            | Not checked
  901.     1 articles | audiofilemagazine.com                  | Not checked
  902.     1 articles | augmental.tech                         | Not checked
  903.     1 articles | auth0.com                              | Not checked
  904.     1 articles | autodesk.com                           | Not checked
  905.     1 articles | bard.google.com                        | Not checked
  906.     1 articles | barebones.com                          | Not checked
  907.     1 articles | barrettmedia.com                       | Not checked
  908.     1 articles | bbc.co.uk                              | Not checked
  909.     1 articles | beebom.com                             | Not checked
  910.     1 articles | benetech.zoom.us                       | Not checked
  911.     1 articles | beta.envision-assistant.com            | Not checked
  912.     1 articles | blastbay.com                           | Not checked
  913.     1 articles | blindandroidusers.com                  | Not checked
  914.     1 articles | blindbargains.com                      | Not checked
  915.     1 articles | blindlinux.com                         | Not checked
  916.     1 articles | blindshellusa.com                      | Not checked
  917.     1 articles | blog.bookshare.org                     | Not checked
  918.     1 articles | blogfreesci.wpenginepowered.com        | Not checked
  919.     1 articles | blogs.gnome.org                        | Not checked
  920.     1 articles | blogs.nvidia.com                       | Not checked
  921.     1 articles | boldlyblind.blog                       | Not checked
  922.     1 articles | bookish.press                          | Not checked
  923.     1 articles | branchfh.com                           | Not checked
  924.     1 articles | broadbandbreakfast.com                 | Not checked
  925.     1 articles | buff.ly                                | Not checked
  926.     1 articles | businessinsider.com                    | Not checked
  927.     1 articles | businessmole.com                       | Not checked
  928.     1 articles | cam.ac.uk                              | Not checked
  929.     1 articles | cambridgenetwork.co.uk                 | Not checked
  930.     1 articles | carrieonaccessibility.com              | Not checked
  931.     1 articles | castro.fm                              | Not checked
  932.     1 articles | catchthesewords.com                    | Not checked
  933.     1 articles | cbpp.org                               | Not checked
  934.     1 articles | cclvi.org                              | Not checked
  935.     1 articles | cdc.gov                                | Not checked
  936.     1 articles | cen.acs.org                            | Not checked
  937.     1 articles | chat.whatsapp.com                      | Not checked
  938.     1 articles | checkout.abbyy.com                     | Not checked
  939.     1 articles | chemistryworld.com                     | Not checked
  940.     1 articles | chronicle.com                          | Not checked
  941.     1 articles | cinemorphosis.blog                     | Not checked
  942.     1 articles | classtechtips.com                      | Not checked
  943.     1 articles | clicks.tech                            | Not checked
  944.     1 articles | cobizmag.com                           | Not checked
  945.     1 articles | codefactoryglobal.com                  | Not checked
  946.     1 articles | contrast.report                        | Not checked
  947.     1 articles | core77.com                             | Not checked
  948.     1 articles | corporate.target.com                   | Not checked
  949.     1 articles | creative-boost.com                     | Not checked
  950.     1 articles | creativereview.co.uk                   | Not checked
  951.     1 articles | csoonline.com                          | Not checked
  952.     1 articles | css-tricks.com                         | Not checked
  953.     1 articles | csun.ally.me                           | Not checked
  954.     1 articles | culture.org                            | Not checked
  955.     1 articles | customerservant.com                    | Not checked
  956.     1 articles | cybersprout.net                        | Not checked
  957.     1 articles | davedavies.dev                         | Not checked
  958.     1 articles | deepmind.google                        | Not checked
  959.     1 articles | desmos.com                             | Not checked
  960.     1 articles | devdiscourse.com                       | Not checked
  961.     1 articles | developer.android.com                  | Not checked
  962.     1 articles | developer.apple.com                    | Not checked
  963.     1 articles | developer.microsoft.com                | Not checked
  964.     1 articles | developer.mozilla.org                  | Not checked
  965.     1 articles | developers.googleblog.com              | Not checked
  966.     1 articles | digitalaccesstraining.com              | Not checked
  967.     1 articles | digitaltrustindex.eu                   | Not checked
  968.     1 articles | dinis-maga.medium.com                  | Not checked
  969.     1 articles | disabilities.temple.edu                | Not checked
  970.     1 articles | djmag.com                              | Not checked
  971.     1 articles | dllr.state.md.us                       | Not checked
  972.     1 articles | docusign.com                           | Not checked
  973.     1 articles | dri.es                                 | Not checked
  974.     1 articles | dropbox.com                            | Not checked
  975.     1 articles | eastbaycenterfortheblind.org           | Not checked
  976.     1 articles | easya11yguide.com                      | Not checked
  977.     1 articles | eejournal.com                          | Not checked
